collectid,date
298,2022-06-14
299,2022-06-08
300,2022-06-07
301,2022-06-07
302,2022-06-07
303,2022-06-02
304,2022-06-09
305,2022-06-08
306,2022-06-09
307,2022-06-09
308,2022-06-08
309,2022-05-31
311,2022-06-01
312,2022-06-01
313,2022-06-02
314,2022-06-13
315,2022-06-09
316,2022-06-13
317,2022-06-13
318,2022-06-13
113,2022-07-28
114,2022-07-28
115,2022-07-28
116,2022-08-02
117,2022-08-02
118,2022-08-03
119,2022-08-03
120,2022-08-03
121,2022-08-03
122,2022-08-03
328,2022-08-10
329,2022-08-10
123,2022-06-29
124,2022-06-29
125,2022-06-30
126,2022-06-30
127,2022-06-30
348,2022-08-04
349,2022-08-09
350,2022-08-09
324,2022-08-09
325,2022-08-09
128,2022-06-28
129,2022-06-28
130,2022-06-29
131,2022-06-29
132,2022-06-29
484,2022-10-12
485,2022-10-12
481,2022-09-28
482,2022-10-04
483,2022-10-11
378,2022-08-16
379,2022-08-16
380,2022-08-17
381,2022-08-17
382,2022-08-17
372,2022-08-18
373,2022-08-18
374,2022-08-18
375,2022-08-18
376,2022-08-18
394,2022-08-15
395,2022-08-15
396,2022-08-15
397,2022-08-15
359,2022-08-16
445,2022-10-18
446,2022-10-18
447,2022-10-19
448,2022-10-19
449,2022-10-18
440,2022-10-24
441,2022-10-24
442,2022-10-24
443,2022-10-25
444,2022-10-25
133,2022-07-05
134,2022-07-05
135,2022-07-05
136,2022-07-06
137,2022-07-06
138,2022-07-06
139,2022-07-14
140,2022-07-26
141,2022-07-26
142,2022-07-26
143,2022-07-27
144,2022-07-06
145,2022-07-07
146,2022-07-12
147,2022-07-12
148,2022-07-12
149,2022-07-13
150,2022-07-14
151,2022-07-14
152,2022-07-14
153,2022-07-26
154,2022-07-13
155,2022-07-12
156,2022-07-13
157,2022-07-13
158,2022-07-14
332,2022-08-10
333,2022-08-10
159,2022-07-27
160,2022-07-27
161,2022-07-27
510,2022-08-11
511,2022-08-11
512,2022-08-11
513,2022-10-06
514,2022-09-29
516,2022-11-21
517,2022-11-22
518,2022-11-23
519,2022-11-23
515,2022-11-17
403,2022-09-07
404,2022-09-07
405,2022-09-08
406,2022-09-13
407,2022-09-14
542,2022-10-26
543,2022-10-26
544,2022-11-02
545,2022-11-02
546,2022-11-03
539,2022-11-04
535,2022-10-27
536,2022-10-28
537,2022-11-01
538,2022-11-03
163,2022-06-24
162,2022-06-24
164,2022-06-16
165,2022-06-16
166,2022-06-16
167,2022-07-11
168,2022-07-25
169,2022-07-25
170,2022-08-01
171,2022-08-01
172,2022-06-15
173,2022-06-15
174,2022-06-15
175,2022-06-15
176,2022-06-16
530,2022-10-20
531,2022-10-21
532,2022-10-27
528,2022-10-31
529,2022-11-15
177,2022-06-27
178,2022-07-04
179,2022-07-04
180,2022-07-04
181,2022-07-11
476,2022-08-08
477,2022-08-08
478,2022-08-01
479,2022-08-01
480,2022-08-01
289,2022-05-30
182,2022-05-30
183,2022-05-30
184,2022-05-31
186,2022-05-31
185,2022-05-31
187,2022-06-13
188,2022-06-14
189,2022-06-14
190,2022-06-14
191,2022-06-14
192,2022-06-02
193,2022-06-07
194,2022-06-07
195,2022-06-07
196,2022-06-08
197,2022-06-08
198,2022-06-08
199,2022-06-08
200,2022-06-09
201,2022-06-09
202,2022-05-31
203,2022-06-01
204,2022-06-01
205,2022-06-02
206,2022-06-02
207,2022-06-09
208,2022-06-13
209,2022-06-13
210,2022-06-13
211,2022-06-13
