transectid,onehr,tenhr,hundhr
348,13,1,0
349,45,13,0
350,16,6,0
351,13,7,0
352,27,8,1
353,24,6,2
354,4,6,5
355,15,5,1
356,23,13,2
357,24,19,3
358,12,6,0
359,14,2,0
360,18,9,2
361,16,11,5
362,5,1,0
363,23,5,1
364,54,9,8
365,75,12,3
366,50,3,0
367,44,16,5
368,70,18,1
369,46,17,3
370,13,14,3
371,15,12,2
372,33,1,1
373,41,11,4
374,19,1,1
375,14,6,2
376,22,5,3
377,9,3,0
378,30,10,6
379,15,9,4
380,28,4,0
381,23,7,0
382,13,9,2
383,26,11,1
384,24,6,2
385,109,23,6
386,172,30,2
387,34,12,6
388,40,18,11
389,66,5,0
390,64,13,2
391,63,5,2
