collectid,spp,sizeclass,count
378,gf,<7,0
378,gf,<8,0
378,gf,<9,0
378,gf,<10,0
379,to,<BH,6
379,to,<2.5,5
379,to,<5,0
379,to,<6,0
379,to,<7,0
379,to,<8,0
379,to,<9,0
379,to,<10,0
379,df,<BH,4
379,df,<2.5,4
379,df,<5,3
379,df,<6,0
379,df,<7,0
379,df,<8,2
379,df,<9,3
379,df,<10,0
379,rw,<BH,0
379,rw,<2.5,2
379,rw,<5,0
379,rw,<6,0
379,rw,<7,0
379,rw,<8,0
379,rw,<9,0
379,rw,<10,0
379,gc,<BH,0
379,gc,<2.5,0
379,gc,<5,1
379,gc,<6,0
379,gc,<7,0
379,gc,<8,0
379,gc,<9,0
379,gc,<10,0
380,df,<BH,2
380,df,<2.5,5
380,df,<5,4
380,df,<6,0
380,df,<7,4
380,df,<8,2
380,df,<9,1
380,df,<10,1
380,to,<BH,32
380,to,<2.5,18
380,to,<5,11
380,to,<6,1
380,to,<7,1
380,to,<8,0
380,to,<9,0
380,to,<10,0
380,cb,<BH,1
380,cb,<2.5,0
380,cb,<5,0
380,cb,<6,0
380,cb,<7,0
380,cb,<8,0
380,cb,<9,0
380,cb,<10,0
380,rw,<BH,4
380,rw,<2.5,13
380,rw,<5,9
380,rw,<6,1
380,rw,<7,6
380,rw,<8,4
380,rw,<9,0
380,rw,<10,1
380,gf,<BH,0
380,gf,<2.5,0
380,gf,<5,1
380,gf,<6,1
380,gf,<7,0
380,gf,<8,1
380,gf,<9,0
380,gf,<10,0
381,rw,<BH,7
381,rw,<2.5,5
381,rw,<5,4
381,rw,<6,2
381,rw,<7,2
381,rw,<8,1
381,rw,<9,1
381,rw,<10,0
381,gf,<BH,5
381,gf,<2.5,4
381,gf,<5,6
381,gf,<6,1
381,gf,<7,2
381,gf,<8,0
381,gf,<9,1
381,gf,<10,0
381,df,<BH,2
381,df,<2.5,42
381,df,<5,39
381,df,<6,9
381,df,<7,15
381,df,<8,11
381,df,<9,3
381,df,<10,2
381,to,<BH,1
381,to,<2.5,3
381,to,<5,1
381,to,<6,1
381,to,<7,0
381,to,<8,0
381,to,<9,0
381,to,<10,0
382,gf,<BH,11
382,gf,<2.5,10
382,gf,<5,8
382,gf,<6,3
382,gf,<7,3
382,gf,<8,2
382,gf,<9,2
382,gf,<10,0
382,df,<BH,16
382,df,<2.5,38
382,df,<5,8
382,df,<6,4
382,df,<7,1
382,df,<8,1
382,df,<9,0
382,df,<10,0
382,rw,<BH,4
382,rw,<2.5,14
382,rw,<5,9
382,rw,<6,0
382,rw,<7,0
382,rw,<8,1
382,rw,<9,1
382,rw,<10,0
382,to,<BH,22
382,to,<2.5,13
382,to,<5,11
382,to,<6,1
382,to,<7,1
382,to,<8,1
