stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,diameter,decayclass,thoushrlen,notes
1,bob,np,b,6,1,0,4,18.0,4,10,
1,bob,np,b,9,1,0,9,8.2,3,10,
1,bob,np,b,9,1,0,9,23.0,3,10,
1,bob,np,b,9,2,120,8,11.8,4,10,tanoak at 10 m
1,bob,np,b,9,3,240,3,14.0,3,10,"open area, lots of fuel, does not seem to be skid or landing"
1,bob,np,b,9,3,240,3,15.2,3,10,"open area, lots of fuel, does not seem to be skid or landing"
1,bob,np,b,9,3,240,3,22.3,4,10,"open area, lots of fuel, does not seem to be skid or landing"
1,bob,np,b,9,3,240,3,23.2,5,10,"open area, lots of fuel, does not seem to be skid or landing"
1,bob,np,b,9,3,240,3,14.2,5,10,"open area, lots of fuel, does not seem to be skid or landing"
1,bob,np,b,9,3,240,3,11.2,5,10,"open area, lots of fuel, does not seem to be skid or landing"
1,bob,np,b,9,3,240,3,18.6,4,10,"open area, lots of fuel, does not seem to be skid or landing"
1,bob,np,nb,1,2,120,8,15.4,5,10,
1,bob,np,nb,1,2,120,8,8.2,3,10,
1,bob,np,nb,1,3,240,19,9.3,5,10,
1,bob,np,nb,1,3,240,19,21.2,5,10,
1,bob,np,nb,1,3,240,19,41.0,5,10,
1,bob,np,nb,1,3,240,19,11.9,5,10,
1,bob,np,nb,1,3,240,19,42.2,3,10,
1,bob,np,nb,1,3,240,19,12.1,5,10,
1,bob,np,nb,1,3,240,19,20.5,3,10,
1,bob,np,nb,11,1,0,11,17.4,5,10,
1,bob,np,nb,11,2,120,4,14.4,4,10,crosses downed trees from another experiment
1,bob,np,nb,11,2,120,4,20.2,2,10,crosses downed trees from another experiment
1,bob,np,nb,11,2,120,4,25.8,2,10,crosses downed trees from another experiment
1,bob,np,nb,11,2,120,4,21.2,2,10,crosses downed trees from another experiment
1,bob,np,nb,11,2,120,4,25.0,2,10,crosses downed trees from another experiment
1,bob,np,nb,11,2,120,4,27.4,2,10,crosses downed trees from another experiment
1,bob,np,nb,12,1,0,47,9.1,3,10,through dead/down shrub
1,bob,np,nb,12,2,115,29,28.4,3,10,
1,bob,np,nb,12,3,240,42,20.6,4,10,
1,bob,np,nb,7,1,0,9,12.7,1,10,
1,bob,np,nb,7,2,120,14,9.3,1,10,
1,bob,np,nb,7,3,240,12,24.8,4,10,in skid
1,bob,np,nb,7,3,240,12,9.9,1,10,in skid
1,camp8,ls,b,12,1,358,15,10.0,3,10,
1,camp8,ls,b,12,2,120,7,22.0,5,10,
1,camp8,ls,b,12,3,226,13,88.0,5,10,
1,camp8,ls,b,12,3,226,13,16.0,4,10,
1,camp8,ls,b,12,2,120,7,8.0,1,10,
1,camp8,ls,b,12,3,226,13,14.0,1,10,
1,camp8,ls,b,13,2,120,6,11.0,2,10,
1,camp8,ls,b,13,3,240,38,16.0,4,10,
1,camp8,ls,b,13,3,240,38,12.0,2,10,
1,camp8,ls,b,3,2,120,32,16.0,4,10,
1,camp8,ls,b,3,2,120,32,8.0,5,10,
1,camp8,ls,b,5,1,0,10,8.0,3,10,
1,camp8,ls,b,5,1,0,10,20.0,5,10,
1,camp8,ls,b,5,1,0,10,13.5,5,10,
1,camp8,ls,b,5,1,0,10,19.0,5,10,
1,camp8,ls,b,5,2,120,18,12.0,2,10,
1,camp8,ls,b,5,2,120,18,11.0,4,10,
1,camp8,ls,b,5,3,240,23,8.0,1,10,
1,camp8,ls,b,5,3,240,23,12.0,3,10,
1,camp8,ls,b,5,3,240,23,22.0,4,10,
1,dun,ls,b,7,2,120,30,16.0,4,10,
1,dun,ls,b,7,2,120,30,8.0,3,10,
1,camp8,ls,b,8,1,0,29,11.7,2,10,
1,camp8,ls,b,8,1,0,29,16.0,3,10,
1,camp8,ls,b,8,2,120,53,14.0,5,10,
1,camp8,ls,b,8,2,120,53,11.7,5,10,
1,camp8,ls,b,8,3,240,13,8.5,1,10,
1,camp8,ls,b,8,3,240,13,7.6,2,10,
1,camp8,ls,b,8,3,240,13,9.0,3,10,
1,camp8,ls,b,8,3,240,13,6.0,5,10,
1,camp8,ls,b,8,3,240,13,34.0,5,10,
1,camp8,m,nb,1,1,0,4,10.5,4,10,
1,camp8,m,nb,1,1,0,4,64.0,4,10,
1,camp8,m,nb,1,1,0,4,18.4,4,10,
1,camp8,m,nb,1,1,0,4,8.9,4,10,
1,camp8,m,nb,1,2,120,5,7.7,5,10,
1,camp8,m,nb,1,2,120,5,9.5,4,10,
1,camp8,m,nb,1,2,120,5,10.5,4,10,
1,camp8,m,nb,1,3,235,7,13.0,4,10,
1,camp8,m,nb,10,1,0,38,10.0,4,10,
1,camp8,m,nb,10,2,120,8,8.1,3,10,in skid
1,camp8,m,nb,10,3,240,25,19.0,3,10,
1,camp8,m,nb,3,1,0,9,34.0,4,10,large redwood trunk at 10 m
1,camp8,m,nb,3,1,0,9,14.0,3,10,large redwood trunk at 10 m
1,camp8,m,nb,3,1,0,9,11.4,3,10,large redwood trunk at 10 m
1,camp8,m,nb,3,1,0,9,13.4,4,10,large redwood trunk at 10 m
1,camp8,m,nb,3,1,0,9,28.0,4,10,large redwood trunk at 10 m
1,camp8,m,nb,3,2,120,12,40.0,3,10,
1,camp8,m,nb,3,2,120,12,24.0,3,10,
1,camp8,m,nb,3,3,240,9,16.4,4,10,"crosses skid, still a lot of fuel"
1,camp8,m,nb,3,3,240,9,10.8,3,10,"crosses skid, still a lot of fuel"
1,camp8,m,nb,3,3,240,9,8.3,3,10,"crosses skid, still a lot of fuel"
1,camp8,m,nb,3,3,240,9,22.0,3,10,"crosses skid, still a lot of fuel"
1,camp8,m,nb,4,1,0,10,12.0,5,10,started recording FBD
