stageid,site,treatment,burn,plotnum,spp,sizeclass,count,seedlingradius,saplingradius,notes
1,bob,ls,b,6,gf,<10,2,5.64,11.28,
1,bob,ls,b,6,wm,<BH,0,5.64,11.28,
1,bob,ls,b,6,wm,<2.5,2,5.64,11.28,
1,bob,ls,b,6,wm,<5,0,5.64,11.28,
1,bob,ls,b,6,wm,<6,0,5.64,11.28,
1,bob,ls,b,6,wm,<7,0,5.64,11.28,
1,bob,ls,b,6,wm,<8,0,5.64,11.28,
1,bob,ls,b,6,wm,<9,1,5.64,11.28,
1,bob,ls,b,6,wm,<10,0,5.64,11.28,
1,bob,ls,b,6,cb,<BH,1,5.64,11.28,
1,bob,ls,b,6,cb,<2.5,0,5.64,11.28,
1,bob,ls,b,6,cb,<5,0,5.64,11.28,
1,bob,ls,b,6,cb,<6,0,5.64,11.28,
1,bob,ls,b,6,cb,<7,0,5.64,11.28,
1,bob,ls,b,6,cb,<8,0,5.64,11.28,
1,bob,ls,b,6,cb,<9,0,5.64,11.28,
1,bob,ls,b,6,cb,<10,0,5.64,11.28,
1,bob,ls,b,3,to,<BH,24,5.64,11.28,
1,bob,ls,b,3,to,<2.5,46,5.64,11.28,
1,bob,ls,b,3,to,<5,20,5.64,11.28,
1,bob,ls,b,3,to,<6,3,5.64,11.28,
1,bob,ls,b,3,to,<7,7,5.64,11.28,
1,bob,ls,b,3,to,<8,4,5.64,11.28,
1,bob,ls,b,3,to,<9,0,5.64,11.28,
1,bob,ls,b,3,to,<10,1,5.64,11.28,
1,bob,ls,b,3,df,<BH,0,5.64,11.28,
1,bob,ls,b,3,df,<2.5,10,5.64,11.28,
1,bob,ls,b,3,df,<5,4,5.64,11.28,
1,bob,ls,b,3,df,<6,0,5.64,11.28,
1,bob,ls,b,3,df,<7,0,5.64,11.28,
1,bob,ls,b,3,df,<8,0,5.64,11.28,
1,bob,ls,b,3,df,<9,0,5.64,11.28,
1,bob,ls,b,3,df,<10,0,5.64,11.28,
1,bob,ls,b,3,rw,<BH,0,5.64,11.28,
1,bob,ls,b,3,rw,<2.5,4,5.64,11.28,
1,bob,ls,b,3,rw,<5,2,5.64,11.28,
1,bob,ls,b,3,rw,<6,2,5.64,11.28,
1,bob,ls,b,3,rw,<7,0,5.64,11.28,
1,bob,ls,b,3,rw,<8,0,5.64,11.28,
1,bob,ls,b,3,rw,<9,0,5.64,11.28,
1,bob,ls,b,3,rw,<10,0,5.64,11.28,
1,bob,ls,b,3,wm,<BH,0,5.64,11.28,
1,bob,ls,b,3,wm,<2.5,1,5.64,11.28,
1,bob,ls,b,3,wm,<5,0,5.64,11.28,
1,bob,ls,b,3,wm,<6,0,5.64,11.28,
1,bob,ls,b,3,wm,<7,0,5.64,11.28,
1,bob,ls,b,3,wm,<8,0,5.64,11.28,
1,bob,ls,b,3,wm,<9,0,5.64,11.28,
1,bob,ls,b,3,wm,<10,0,5.64,11.28,
1,bob,ls,b,5,to,<BH,7,5.64,11.28,
