site,burn,treatment,plot,plot_order,tag,spp,dbh,ht,cbh,cr,clump_tags,defect_top,defect_mid,defect_low,clump_sap,notes
hare,nb,np,11,1,3778,GF,14.2,,6.4,,,,,skid,,
hare,nb,np,11,2,3779,TO ,14,,1.7,,,,,break,,"bark peel, epicormin sprout"
hare,nb,np,11,3,3780,GF,18.4,,11.1,,,,,skid,,
hare,nb,np,11,4,3781,GF,17.4,,8.8,,,,,skid,,
hare,nb,np,11,5,3782,GF,17.3,,12.8,,,,,,,
hare,nb,np,11,6,3783,GF,28.5,,9.4,,,,,,,
hare,nb,np,11,7,3784,GF,17.1,,9.6,,,,,,,
hare,nb,np,11,8,3785,DF,15.3,,10.6,,,,,canker,,
hare,nb,np,11,9,3786,GF,11.2,,9.9,,,,,,,
hare,nb,np,11,10,3787,GF,20.4,,7,,,,,,,
hare,nb,np,11,11,3788,RW,63.2,,22.3,,,,,,,
hare,nb,np,11,12,3789,TO ,31.1,,7,,3790,,,,"1,1",
hare,nb,np,11,13,3790,TO ,14.7,,2,,3789,,,,"1,1",
hare,nb,np,11,14,3791,DF,45.3,38.9,27.6,,,,,,,
hare,nb,np,11,15,3792,GF,12.9,,7,,,,,scar,,
hare,nb,np,11,16,3793,RW,76,,11.9,,3800,,,,,"estimated from 1/2, grown together with 3800"
hare,nb,np,11,17,3800,RW,30,,11.9,,3793,,,,,"estimated from 1/2, grown together with 3793"
hare,nb,np,11,18,3795,RW,41.3,,10.5,,,,,,,
hare,nb,np,11,19,3796,RW,110.5,55.6,25.8,,,,,,,
hare,nb,np,11,20,3797,RW,10.3,,0.5,,3789,,,,,
hare,nb,np,11,21,3798,RW,16.6,,5.1,,3797,,,,,
hare,nb,np,11,22,3799,GF,17,,5.7,,,lean,,scar,,
