site,burn,treatment,plot,plot_order,tag,spp,dbh,ht,cbh,cr,clump_tags,defect_top,defect_mid,defect_low,clump_sap,notes
hare,nb,m,3,1,3729,rw,23.9,,8.4,,,,,,,
hare,nb,m,3,2,3730,df,58.4,,26.5,,,,,,,
hare,nb,m,3,3,3731,gf,69.2,,36.5,,,,conk,conk,,
hare,nb,m,3,4,3732,rw,20.5,,8.5,,,,,,,
hare,nb,m,3,5,3733,rw,52,,22.5,,3753,,,,,estimated from 1/2
hare,nb,m,3,6,3753,rw,54,,22.5,,3733,,,,,estimated from 1/2
hare,nb,m,3,7,3734,rw,37.8,,9.6,,,,,,,
hare,nb,m,3,8,3735,df,80.6,52.9,25.7,,,,,,,
hare,nb,m,3,9,3736,rw,20.4,,7.5,,,,,,,
hare,nb,m,3,10,3737,rw,20.9,,7,,,,,,,
hare,nb,m,3,11,3738,rw,11.6,,5.5,,,,,,,
hare,nb,m,3,12,3739,rw,49.6,,25,,,,,,,
hare,nb,m,3,13,3740,rw,37.4,,10.5,,3741,,,,,
hare,nb,m,3,14,3741,rw,27.1,,8.6,,3740,,,,,
hare,nb,m,3,15,3742,to,16.3,,7.6,,3743,,,,9,
hare,nb,m,3,16,3743,to,43.3,,7.6,,3742,,,,9,
hare,nb,m,3,17,3754,rw,75.1,45.2,28.3,,,,,,,
hare,nb,m,3,18,3744,to,14.2,,3.8,,3745,,,,7,
hare,nb,m,3,19,3745,to,11,,6.3,,3744,,,,7,
hare,nb,m,3,20,3746,to,12.5,,5.8,,,,,,,
hare,nb,m,3,21,3747,to,10.9,,4,,,,,,6,
hare,nb,m,3,22,3749,to,32.3,,3.5,,,,,scar,,"limb @ BH, D @ 1.9m"
hare,nb,m,3,23,3748,df,86.4,,37.4,,,,,,,
hare,nb,m,3,24,3750,rw,31.5,,10.8,,,break,,scar,,
hare,nb,m,3,25,3751,df,59.6,29.1,,,,,,skid,,
hare,nb,m,3,26,3752,to,31.4,,7,,,,,skid,,
