collectid,plotid,stageid,datasheettype
483,164,1,regen
484,167,1,regen
485,166,1,regen
486,168,1,tree
487,169,1,tree
488,170,1,tree
489,171,1,tree
490,170,1,fuel
491,171,1,fuel
492,172,1,fuel
493,173,1,fuel
494,174,1,tree
495,175,1,tree
496,168,1,fuel
497,175,1,fuel
498,173,1,tree
499,172,1,tree
500,174,1,fuel
501,176,1,fuel
502,177,1,fuel
503,178,1,fuel
504,177,1,tree
505,178,1,tree
506,179,1,tree
507,180,1,tree
508,180,1,fuel
509,179,1,fuel
510,119,1,regen
511,120,1,regen
512,121,1,regen
513,122,1,regen
514,149,1,regen
515,181,1,regen
516,182,1,regen
517,183,1,regen
518,179,1,regen
519,180,1,regen
520,183,1,tree
521,184,1,tree
522,182,1,fuel
523,183,1,fuel
524,181,1,tree
525,182,1,tree
526,181,1,fuel
527,169,1,fuel
528,175,1,regen
529,184,1,regen
530,165,1,regen
531,153,1,regen
532,171,1,regen
533,184,1,fuel
534,185,1,fuel
535,170,1,regen
536,173,1,regen
537,172,1,regen
538,176,1,regen
539,185,1,regen
540,185,1,tree
541,176,1,tree
542,178,1,regen
543,177,1,regen
544,174,1,regen
545,168,1,regen
546,169,1,regen
547,186,1,fuel
548,186,1,tree
549,186,1,regen
550,187,1,fuel
551,187,1,tree
552,187,1,regen
553,188,1,fuel
554,188,1,tree
555,188,1,regen
556,189,1,fuel
557,190,1,tree
558,190,1,fuel
559,189,1,regen
560,190,1,regen
562,192,1,fuel
563,192,1,tree
564,192,1,regen
565,193,1,tree
566,193,1,regen
567,193,1,fuel
568,194,1,tree
569,194,1,regen
570,194,1,fuel
571,195,1,fuel
572,195,1,regen
573,195,1,tree
574,196,1,tree
575,196,1,regen
576,196,1,fuel
577,197,1,fuel
578,197,1,tree
579,197,1,regen
580,189,1,tree
581,198,1,fuel
582,198,1,tree
583,198,1,regen
584,199,1,fuel
585,199,1,regen
586,199,1,tree
587,200,1,tree
588,200,1,regen
589,200,1,fuel
